model,variable,horizon,beta,se,t_stat,p_val,ci_low,ci_high
ECI,vol,3,-.0050043230370585,.0031739443827577,-1.576688950267763,.1214357021928334,-.0113859659317973,.0013773198576803
ECI,rer,3,.0037111271365067,.093481215132565,.0396991751898387,.968497623408682,-.1842454531939769,.1916677074669903
ECI,humcap,3,-.1171162916807635,.1942580885911787,-.6028901680755123,.549419838972391,-.5076983565518349,.273465773190308
ECI,innov,3,-.0198869882665349,.0530717062537632,-.3747192180225929,.7095198233302372,-.1265948055067746,.0868208289737048
ECI,net,3,-.0010146284210694,.0018173629773467,-.5582970676285757,.5792366163884313,-.0046686815905421,.0026394247484033
ECI,log_gdppc,3,-.1067394315612384,.1731097579826072,-.6165997388313765,.540412371486516,-.4547999278449875,.2413210647225107
ECI,govcons,3,-.0156128984346562,.0051969194583283,-3.004260227592294,.0042217504633477,-.0260620053301448,-.0051637915391676
ECI,fin,3,-.0016518053676238,.0023534700264543,-.7018595304195921,.486156196090507,-.0063837740038396,.003080163268592
ECI,rents,4,-.0122247768882633,.003549036128852,-3.444534359310009,.0011971159495612,-.0193605922849973,-.0050889614915293
ECI,inst,4,.2019244801227233,.0954416689167632,2.115684715224606,.0395861641266622,.0100261432730148,.3938228169724318
ECI,rents_x_inst,4,-.0094493981680428,.0030422756650006,-3.106029567521435,.0031799347178263,-.0155663033623674,-.0033324929737182
ECI,log_oilpc,4,.0411866195470335,.0230609091709961,1.785992878322172,.0804181612793358,-.0051804459745867,.0875536850686537
ECI,log_gaspc,4,.0374506071541463,.042380207981568,.8836815329088125,.3812729307173311,-.0477605120489383,.1226617263572309
ECI,log_coalpc,4,-.0028954969621327,.0238450453700221,-.1214297107512703,.9038576127839146,-.0508391739802259,.0450481800559605
ECI,hhi,4,.1029625378124505,.1804171994095294,.5706913650662296,.5708710487469131,-.2597905541935716,.4657156298184726
ECI,pexp,4,-.0025002680388627,.001583190497167,-1.579259124746353,.1208447948917026,-.0056834858804071,.0006829498026817
ECI,fexp,4,-.0066562316471699,.0013714140123522,-4.853553768021788,.0000132504749462,-.0094136443274981,-.0038988189668417
ECI,vol,4,.0012311897640239,.0026693612332084,.4612301058047844,.646716805510245,-.0041359207121196,.0065983002401674
ECI,rer,4,-.0217623606464976,.0969732189894153,-.2244161931849759,.8233860331884331,-.2167400853053223,.1732153640123271
ECI,humcap,4,-.0957420386231877,.1876208239958205,-.5102953743840315,.6121833001998246,-.4729789886032831,.2814949113569077
ECI,innov,4,-.0618328499533542,.042100949452875,-1.468680653450958,.148442933140732,-.1464824822522856,.0228167823455772
ECI,net,4,-.0007279959904076,.0017100652966374,-.4257123934618757,.6722202362443295,-.0041663127136338,.0027103207328186
ECI,log_gdppc,4,-.0673424275557629,.1669098027933197,-.4034659823973992,.6883972022239693,-.4029370784402179,.268252223328692
